gbifID	datasetKey	occurrenceID	kingdom	phylum	class	order	family	genus	species	infraspecificEpithet	taxonRank	scientificName	verbatimScientificName	verbatimScientificNameAuthorship	countryCode	locality	stateProvince	occurrenceStatus	individualCount	publishingOrgKey	decimalLatitude	decimalLongitude	coordinateUncertaintyInMeters	coordinatePrecision	elevation	elevationAccuracy	depth	depthAccuracy	eventDate	day	month	year	taxonKey	speciesKey	basisOfRecord	institutionCode	collectionCode	catalogNumber	recordNumber	identifiedBy	dateIdentified	license	rightsHolder	recordedBy	typeStatus	establishmentMeans	lastInterpreted	mediaType	issue
3962307440	e9c133ef-aefa-456e-9fe6-61d1f7e5c170	yv11-gr82-vn67-ov95-te50-tu80	Animalia	Chordata	Testudines		Cheloniidae	Caretta	Caretta caretta		SPECIES	Caretta caretta (Linnaeus, 1758)	Caretta caretta (Linnaeus, 1758)	(Linnaeus, 1758)	PT			PRESENT		0a80feca-b411-428a-a34e-c5c2fa07cdba	38.792	-27.116	50.0						2000-08-31	31	8	2000	8894817	8894817	HUMAN_OBSERVATION							CC_BY_4_0				Native	2024-01-25T01:38:34.933Z		CONTINENT_DERIVED_FROM_COORDINATES
3962307438	e9c133ef-aefa-456e-9fe6-61d1f7e5c170	mq98-qp31-gb57-wp47-qp79-rl53	Animalia	Chordata	Testudines		Cheloniidae	Caretta	Caretta caretta		SPECIES	Caretta caretta (Linnaeus, 1758)	Caretta caretta (Linnaeus, 1758)	(Linnaeus, 1758)	PT			PRESENT		0a80feca-b411-428a-a34e-c5c2fa07cdba	38.533	-27.007	50.0						2008-10-17	17	10	2008	8894817	8894817	HUMAN_OBSERVATION							CC_BY_4_0				Native	2024-01-25T01:38:34.928Z		
3962307437	e9c133ef-aefa-456e-9fe6-61d1f7e5c170	gk23-ew20-ao22-ci48-iv86-il38	Animalia	Chordata	Testudines		Cheloniidae	Caretta	Caretta caretta		SPECIES	Caretta caretta (Linnaeus, 1758)	Caretta caretta (Linnaeus, 1758)	(Linnaeus, 1758)	PT			PRESENT		0a80feca-b411-428a-a34e-c5c2fa07cdba	38.74	-26.944	50.0						1995-10-04	4	10	1995	8894817	8894817	HUMAN_OBSERVATION							CC_BY_4_0				Native	2024-01-25T01:38:34.923Z		
3962307436	e9c133ef-aefa-456e-9fe6-61d1f7e5c170	gq48-dg68-rw90-sh18-dt70-gr11	Animalia	Chordata	Testudines		Cheloniidae	Caretta	Caretta caretta		SPECIES	Caretta caretta (Linnaeus, 1758)	Caretta caretta (Linnaeus, 1758)	(Linnaeus, 1758)	PT			PRESENT		0a80feca-b411-428a-a34e-c5c2fa07cdba	38.633	-27.116	50.0						1995-09-29	29	9	1995	8894817	8894817	HUMAN_OBSERVATION							CC_BY_4_0				Native	2024-01-25T01:38:34.917Z		CONTINENT_DERIVED_FROM_COORDINATES
3962307434	e9c133ef-aefa-456e-9fe6-61d1f7e5c170	mi77-bd14-yd89-mk49-mn67-xd62	Animalia	Chordata	Testudines		Cheloniidae	Caretta	Caretta caretta		SPECIES	Caretta caretta (Linnaeus, 1758)	Caretta caretta (Linnaeus, 1758)	(Linnaeus, 1758)	PT			PRESENT		0a80feca-b411-428a-a34e-c5c2fa07cdba	39.719	-25.687	50.0						2008-10-04	4	10	2008	8894817	8894817	HUMAN_OBSERVATION							CC_BY_4_0				Native	2024-01-25T01:38:34.912Z		
3962307433	e9c133ef-aefa-456e-9fe6-61d1f7e5c170	jl71-ok69-og15-yn94-eq31-pc32	Animalia	Chordata	Testudines		Cheloniidae	Caretta	Caretta caretta		SPECIES	Caretta caretta (Linnaeus, 1758)	Caretta caretta (Linnaeus, 1758)	(Linnaeus, 1758)	PT			PRESENT		0a80feca-b411-428a-a34e-c5c2fa07cdba	38.643	-27.215	50.0						2007-06-11	11	6	2007	8894817	8894817	HUMAN_OBSERVATION							CC_BY_4_0				Native	2024-01-25T01:38:34.906Z		CONTINENT_DERIVED_FROM_COORDINATES
3962307432	e9c133ef-aefa-456e-9fe6-61d1f7e5c170	px60-gq37-if70-uq63-rc10-os23	Animalia	Chordata	Testudines		Cheloniidae	Caretta	Caretta caretta		SPECIES	Caretta caretta (Linnaeus, 1758)	Caretta caretta (Linnaeus, 1758)	(Linnaeus, 1758)	PT			PRESENT		0a80feca-b411-428a-a34e-c5c2fa07cdba	38.646	-27.215	50.0						1997-04-10	10	4	1997	8894817	8894817	HUMAN_OBSERVATION							CC_BY_4_0				Native	2024-01-25T01:38:34.902Z		CONTINENT_DERIVED_FROM_COORDINATES
3962307431	e9c133ef-aefa-456e-9fe6-61d1f7e5c170	cv93-rq12-ni60-bs25-te22-eo75	Animalia	Chordata	Testudines		Cheloniidae	Caretta	Caretta caretta		SPECIES	Caretta caretta (Linnaeus, 1758)	Caretta caretta (Linnaeus, 1758)	(Linnaeus, 1758)	PT			PRESENT		0a80feca-b411-428a-a34e-c5c2fa07cdba	38.65	-27.266	50.0						2013-02-10	10	2	2013	8894817	8894817	HUMAN_OBSERVATION							CC_BY_4_0				Native	2024-01-25T01:38:34.897Z		CONTINENT_DERIVED_FROM_COORDINATES
3962307430	e9c133ef-aefa-456e-9fe6-61d1f7e5c170	me14-qc88-aj50-pk58-fr89-md61	Animalia	Chordata	Testudines		Cheloniidae	Caretta	Caretta caretta		SPECIES	Caretta caretta (Linnaeus, 1758)	Caretta caretta (Linnaeus, 1758)	(Linnaeus, 1758)	PT			PRESENT		0a80feca-b411-428a-a34e-c5c2fa07cdba	37.45	-29.75	50.0						2010-07-02	2	7	2010	8894817	8894817	HUMAN_OBSERVATION							CC_BY_4_0				Native	2024-01-25T01:38:34.895Z		
3962307428	e9c133ef-aefa-456e-9fe6-61d1f7e5c170	wj49-sk65-jm92-me75-pt54-ri15	Animalia	Chordata	Testudines		Cheloniidae	Caretta	Caretta caretta		SPECIES	Caretta caretta (Linnaeus, 1758)	Caretta caretta (Linnaeus, 1758)	(Linnaeus, 1758)	PT			PRESENT		0a80feca-b411-428a-a34e-c5c2fa07cdba	38.769	-28.723	50.0						2018-01-31	31	1	2018	8894817	8894817	HUMAN_OBSERVATION							CC_BY_4_0				Native	2024-01-25T01:38:34.891Z		
3962307427	e9c133ef-aefa-456e-9fe6-61d1f7e5c170	nn68-yc18-wd44-ky34-bt31-fk13	Animalia	Chordata	Testudines		Cheloniidae	Caretta	Caretta caretta		SPECIES	Caretta caretta (Linnaeus, 1758)	Caretta caretta (Linnaeus, 1758)	(Linnaeus, 1758)	PT			PRESENT		0a80feca-b411-428a-a34e-c5c2fa07cdba	38.62	-27.472	50.0						2009-07-13	13	7	2009	8894817	8894817	HUMAN_OBSERVATION							CC_BY_4_0				Native	2024-01-25T01:38:34.884Z		
